"";"Reference";"Taxonomy";"Part";"Number";"Call";"year";"pct";"Tech";"X";"dataset";"bitSize";"lognormSize";"scTransSize";"explainedByPCT";"explainedBySD";"explainedByPCT_SD2";"ngenes"
"12";"@ernst2019staged";10090;"testis";68937;"ErnstSpermatogenesisData()";"2019";0,073689619;"10x";"v3";"ErnstSpermatogenesisData";364;1866,7;4258,4;-0,938431153992173;-0,616131761753055;-0,99138329464647;32105
"13";"@fletcher2017deconstructing";10090;"olfactory epithelium";616;"FletcherOlfactoryData()";"2017";0,098493267;"Smart-Seq";"";"FletcherOlfactoryData";4,3;35,7;85,4;-0,225833690266361;0,0431799041425632;-0,759187809897095;46988
"14";"@grun2016denovo";10090;"haematopoietic stem cells";1915;"GrunHSCData()";"2016";0,031641878;"CEL-Seq";"";"GrunHSCData";8;27;70,9;-0,939599733501968;-0,549458448885198;-0,98777013009848;23536
"15";"@grun2016denovo";9606;"pancreas";1728;"GrunPancreasData()";"2016";0,111636138;"CEL-Seq";"";"GrunPancreasData";6,6;48,1;124,7;-0,937738155023684;-0,484170204218797;-0,978144177881944;20064
"16";"@giladi2018singlecell";10090;"haematopoietic stem cells";81024;"GiladiHSCData(mode='rna')";"2018";0,039998184;"MARS-seq";"";"GiladiHSCDataRNA";382;1016,1;3297,7;-0,901208107013487;-0,241873003728257;-0,961549766516093;27389
"17";"@he2020singlecell";9606;"various organs";84363;"HeOrganAtlasData()";"2020";0,094844151;"10x";"";"HeOrganAtlasData";243,3;1101,1;3899,6;-0,904605123937634;-0,577129061457174;-0,988994006417083;12021
"19";"@hu2017dissecting";10090;"cortex";48000;"HuCortexData()";"2017";0,055568226;"Drop-seq";"";"HuCortexData";178,7;582;1894,2;-0,936994482168562;-0,57731908491972;-0,983842539277871;19060
"20";"@kolodziejczyk2015singlecell";10090;"embryonic stem cells";704;"KolodziejczykESCData()";"2015";0,291719392;"Smart-Seq";"v2";"KolodziejczykESCData";4,3;93,9;208,4;-0,392560110499576;0,0285971104690637;-0,683286431866554;38561
"21";"@jessa2019stalled";10090;"brain";61595;"JessaBrainData()";"2019";0,075340127;"10x";"";"JessaBrainData";295,1;1487,1;4289,5;-0,903767206581949;-0,602027144125771;-0,967344519609102;27998
"22";"@lamanno2016molecular";9606;"embryonic stem cells";1715;"LaMannoBrainData('human-es')";"2016";0,196402944;"Fluidigm";"";"LaMannoBrainDataHumanEs";6,3;72,6;188,8;-0,840932631208739;-0,352292431357857;-0,984883700867697;18538
"23";"@lamanno2016molecular";9606;"embryonic midbrain";1977;"LaMannoBrainData('human-embryo')";"2016";0,117621956;"Fluidigm";"";"LaMannoBrainDataHumanEmbryo";7,5;53,2;150,4;-0,921832651040547;-0,408288814434008;-0,993118474513318;19530
"24";"@lamanno2016molecular";9606;"induced pluripotent stem cells";337;"LaMannoBrainData('human-ips')";"2016";0,159098205;"Fluidigm";"";"LaMannoBrainDataHumanIPS";1,1;10;30;-0,938113737564716;-0,197961181161379;-0,994790007896387;14725
"25";"@lamanno2016molecular";10090;"adult dopaminergic neurons";243;"LaMannoBrainData('mouse-adult')";"2016";0,225367539;"Fluidigm";"";"LaMannoBrainDataMouseAdult";0,9;12,6;32,3;-0,957614335988539;-0,49903115332723;-0,988922868492626;18219
"26";"@lamanno2016molecular";9606;"embyronic midbrain";1907;"LaMannoBrainData('mouse-embryo')";"2016";0,120780914;"Fluidigm";"";"LaMannoBrainDataMouseEmbryo";8,3;65,8;173,4;-0,872083496654584;-0,100365362297688;-0,975258899407924;24377
"27";"@lawlor2017singlecell";9606;"pancreas";638;"LawlorPancreasData()";"2017";0,303549648;"Fluidigm";"";"LawlorPancreasData";2,9;62,6;142,3;0,256275104471085;0,190508305695194;0,419767725883844;26616
"28";"@ledergor2018single";9606;"bone marrow plasma cells";51840;"LedergorMyelomaData()";"2018";0,009422567;"MARS-seq";"";"LedergorMyelomaData";433,1;323,7;1732,7;-0,756121134730245;0,0729917408313569;-0,846154544938686;57874
"30";"@lun2017assessing";10090;"416B cells";192;"LunSpikeInData('416b')";"2017";0,180167944;"Smart-Seq";"v2";"LunSpikeInData416b";1,3;22,4;49,2;-0,465341079899203;0,165218707904832;-0,626755434084156;46604
"31";"@lun2017assessing";10090;"trophoblasts";192;"LunSpikeInData('tropho')";"2017";0,162061612;"Smart-Seq";"v2";"LunSpikeInDataTropho";1,3;20,5;54;-0,832368172745821;0,218486880909695;-0,814918062153059;46603
